Name,Distributor,Month,Country,Genre,Runtime,Grade,Screen_Type,Story,Series,Audience_Reviews,Critic_Reviews,Trailer_views,Preview,Screen,Audience
원라인,Major,3,Korea,Crime,131,15,2D,No,No,9.01,5.71,834672,9888,613,434777
터닝메카드W : 블랙미러의 부활,Minor,1,Korea,Animation,72,All,4D,No,No,9.54,5.00,136667,1724,570,429569
스머프 : 비밀의 숲,Major,4,America,Animation,89,All,4D,No,No,9.29,7.00,739963,1556,607,427764
로그 원 : 스타워즈 스토리,Major,12,America,Action,133,12,IMAX,Yes,No,8.80,7.16,896845,2331,907,1019309
극장판 포켓몬스터 너로 정했다!,Minor,12,Japan,Animation,97,All,2D,No,Yes,9.50,6.00,49682,1194,626,509555
킹 아서 : 제왕의 검,Major,5,Europe,Fantasy,126,12,3D,No,No,8.52,5.25,596989,57437,588,415714
넛잡 2,Major,10,Korea,Animation,91,All,4D,No,Yes,9.76,5.00,393209,4060,526,411787
아메리칸 메이드,Major,9,America,Crime,114,15,2D,No,No,8.92,6.67,205710,510,691,401541
러빙 빈센트,Minor,11,Europe,Animation,94,15,2D,Yes,No,9.80,7.50,96109,3328,272,409345
보통사람,Minor,3,Korea,Drama,121,15,2D,No,No,9.23,5.86,469039,6396,621,383336
대장 김창수,Minor,10,Korea,Drama,114,12,2D,Yes,No,6.69,4.67,790868,14275,748,381483
눈의 여왕 3 : 눈과 불의 마법대결,Minor,1,Europe,Animation,89,All,2D,No,Yes,9.24,5.00,87643,2022,526,367919
어쌔신 크리드,Major,1,America,Action,115,15,4D,Yes,No,8.92,5.67,998736,1014,566,355913
플립,Minor,7,America,Drama,89,12,2D,No,No,9.44,6.00,110541,982,249,354601
석조저택 살인사건,Minor,5,Korea,Horror,108,15,2D,Yes,No,8.79,4.67,795238,5540,539,353043
싱글라이더,Major,2,Korea,Drama,97,15,2D,No,No,8.56,5.90,1048963,5453,576,351276
7호실,Major,11,Korea,Comedy,100,15,2D,No,No,9.03,6.43,1085927,6379,529,347790
몬스터 패밀리,Minor,12,Europe,Animation,92,All,2D,No,No,9.52,6.00,381879,4155,617,397633
내 사랑,Minor,7,Europe,Drama,115,12,2D,No,No,9.64,6.71,92672,5305,233,377182
극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,Major,7,Japan,Animation,103,All,2D,No,Yes,9.73,5.00,129851,1058,547,333082
사랑하기 때문에,Major,1,Korea,Comedy,110,12,2D,No,No,9.05,6.00,905411,18677,542,340830
희생부활자,Major,10,Korea,Mystery,91,15,2D,No,No,8.88,5.17,848116,2895,781,323628
옥자,Minor,6,America,Adventure,120,12,2D,No,No,7.65,7.33,1820682,5080,111,321550
블레이드 러너 2049,Major,10,America,SF,163,15,IMAX,No,No,8.97,8.22,230486,30516,664,321424
빅풋 주니어,Minor,8,Europe,Animation,91,All,3D,No,No,9.65,5.00,266621,3033,437,320545
존 윅 - 리로드,Minor,2,America,Action,122,19,4D,No,No,9.24,7.00,204082,1673,250,276379
목소리의 형태,Minor,5,Japan,Animation,129,All,2D,No,No,9.45,7.60,168382,9725,466,275983
판도라,Major,12,Korea,Drama,135,12,4D,No,No,8.13,5.92,1759596,18372,1166,4583645
공범자들,Minor,8,Korea,Documentary,105,15,2D,Yes,No,7.30,6.44,326087,7850,243,260512
미옥,Minor,11,Korea,Crime,90,19,2D,No,No,8.36,4.33,729214,2623,635,238587
어느날,Minor,4,Korea,Romance,113,15,2D,No,No,9.20,6.00,517975,5208,532,234681
딥,Minor,10,Europe,Animation,85,All,2D,No,No,9.43,5.00,250542,3135,441,230068
극장판 요괴워치 : 하늘을 나는 고래와 더블세계다냥!,Major,9,Japan,Animation,89,All,2D,No,Yes,9.64,5.00,368345,1473,486,215203
어쌔신 : 더 비기닝,Minor,12,America,Action,111,15,2D,No,Yes,9.22,5.50,539503,2323,528,205544
발레리나,Minor,2,Europe,Animation,89,All,3D,No,No,9.49,5.00,103042,5826,434,202411
50가지 그림자 : 심연,Major,2,America,Romance,118,19,2D,No,Yes,8.28,2.25,680790,159,435,189620
핵소 고지,Minor,2,America,Drama,138,15,2D,Yes,No,8.98,6.00,176664,8231,442,177601
문라이트,Minor,2,America,Drama,110,15,2D,No,No,9.04,7.89,151634,4697,173,177483
채비,Minor,11,Korea,Drama,114,12,2D,No,No,9.47,5.00,179817,5187,480,177428
"나는 내일, 어제의 너와 만난다",Minor,10,Japan,Romance,110,12,2D,No,No,9.43,6.00,106086,312,206,175670
